subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
25,1,1,Tomate,Bolo,Vermelha,CEREJA,1,CEREJA,254564,1,1,244195,10369
25,1,2,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,263028,1,1,256342,6686
25,1,3,Fio,Termo,Dia,MEIO,1,TEMPER,294039,0,1,264027,30012
25,1,4,Aranha,Prego,Hidraúlico,MACACO,1,MACACO,309418,1,1,294301,15117
25,1,5,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,316957,1,1,310482,6475
25,1,6,Boi,Espada,Palhaço,PEIXE,1,PEIXE,326476,1,1,318105,8371
25,1,7,Gola,Aquático,Petroquímico,POLO,1,POLO,335571,1,1,326883,8688
25,1,8,Chuva,Roupa,Civil,GUARDA,1,GUARDA,342333,1,1,336268,6065
25,1,9,Cabelo,Papel,Vídeo,CLIPE,1,FITA,357047,0,1,343357,13690
25,1,10,Velho,Princesa,Cara,COROA,1,<NO_RESPONSE>,392872,0,1,362858,30014
25,1,11,Sangue,Planta,Pote,VASO,1,VASO,406511,1,1,397595,8916
25,1,12,Bala,Estação,Vapor,TREM,1,TREM,414368,1,1,407720,6648
25,1,13,Violino,Piano,Rapel,CORDA,1,CORDA,421338,1,1,415695,5643
25,1,14,Doida,Cuidador,Cidade,IDA,1,<NO_RESPONSE>,452355,0,1,422345,30010
25,1,15,Camisa,Fruta,Mangueira,MANGA,1,MANGA,469450,1,1,462953,6497
25,1,16,Ar,Doa,O,DOR,1,OXIGENIO,492611,0,1,470519,22092
25,1,17,Cara,Perna,Pica,PAU,1,<NO_RESPONSE>,524414,0,1,494403,30011
25,1,18,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,556438,0,1,526427,30011
25,1,19,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,569835,1,1,558546,11289
25,1,20,Azul,Leão,Cavalo,MARINHO,1,MARINHO,588803,1,1,571457,17346
25,1,21,Pepino,Estrela,Aberto,MAR,1,MAR,603117,1,1,590810,12307
25,1,22,Árvore,Suco,Cor,VERDE,1,LARANJA,622637,0,1,605229,17408
25,1,23,Pão,Limão,Abelha,MEL,1,MEL,632799,1,1,625300,7499
25,1,24,Coco,Integral,Dente,LEITE,1,PAO,660631,0,1,634500,26131
25,1,25,Batata,Chave,Língua,INGLESA,1,SEGREDO,681269,0,1,663034,18235
25,1,26,Canindé,Cabideiro,Palíndromo,ARARA,1,ROUPAS,712458,0,1,682836,29622
25,1,27,Sol,Normal,Raio,PARA,1,TEMPO,728217,0,1,714940,13277
25,1,28,Curva,Flecha,Reflexo,ARCO,1,ARCO,753691,1,1,731240,22451
25,1,29,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,770446,1,1,761420,9026
25,1,30,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,776064,1,1,771664,4400
