subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
5,1,1,Chuva,Roupa,Civil,GUARDA,1,GUARDA,86203,1,1,81468,4735
5,1,2,Batata,Chave,Língua,INGLESA,1,MOLHO,98552,0,1,91123,7429
5,1,3,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,138943,1,1,129763,9180
5,1,4,Coco,Integral,Dente,LEITE,1,LEITE,149649,1,1,142076,7573
5,1,5,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,154633,1,1,151019,3614
5,1,6,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,186993,0,1,156964,30029
5,1,7,Ar,Doa,O,DOR,1,DAR,232467,0,1,221772,10695
5,1,8,Pepino,Estrela,Aberto,MAR,1,MAR,240094,1,1,235023,5071
5,1,9,Azul,Leão,Cavalo,MARINHO,1,DENTE,244672,0,1,241693,2979
5,1,10,Gola,Aquático,Petroquímico,POLO,1,CAAR,314799,0,1,284787,30012
5,1,11,Pão,Limão,Abelha,MEL,1,MEL,330210,1,1,315083,15127
5,1,12,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,341720,1,1,331788,9932
5,1,13,Camisa,Fruta,Mangueira,MANGA,1,MANGA,348228,1,1,343331,4897
5,1,14,Velho,Princesa,Cara,COROA,1,REI,375547,0,1,349203,26344
5,1,15,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,450020,1,1,429812,20208
5,1,16,Sangue,Planta,Pote,VASO,1,<NO_RESPONSE>,477028,0,1,452203,24825
5,1,17,Tomate,Bolo,Vermelha,CEREJA,1,CEREJA,495660,1,1,487146,8514
5,1,18,Aranha,Prego,Hidraúlico,MACACO,1,<NO_RESPONSE>,527083,0,1,497059,30024
5,1,19,Violino,Piano,Rapel,CORDA,1,CORDA,564824,1,1,549979,14845
5,1,20,Boi,Espada,Palhaço,PEIXE,1,VERMELHO,602526,0,1,577596,24930
5,1,21,Cara,Perna,Pica,PAU,1,<NO_RESPONSE>,634642,0,1,606946,27696
5,1,22,Doida,Cuidador,Cidade,IDA,1,PREFEITA,710550,0,1,687555,22995
5,1,23,Árvore,Suco,Cor,VERDE,1,LARANJA,762543,0,1,739427,23116
5,1,24,Pantera,Ovelha,Viúva,NEGRA,1,NEGA,812446,0,1,804139,8307
5,1,25,Curva,Flecha,Reflexo,ARCO,1,ARCO,852455,1,1,841123,11332
5,1,26,Bala,Estação,Vapor,TREM,1,TREM,860561,1,1,854803,5758
5,1,27,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,890139,0,1,861996,28143
5,1,28,Fio,Termo,Dia,MEIO,1,FIM,934893,0,1,908595,26298
5,1,29,Cabelo,Papel,Vídeo,CLIPE,1,FIO,1006549,0,1,979956,26593
5,1,30,Sol,Normal,Raio,PARA,1,PARA,1116937,1,1,1103308,13629
