subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
81,1,1,Velho,Princesa,Cara,COROA,1,<NO_RESPONSE>,54654,0,1,34006,20648
81,1,2,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,64004,0,1,56470,7534
81,1,3,Curva,Flecha,Reflexo,ARCO,1,<NO_RESPONSE>,80071,0,1,66026,14045
81,1,4,Gola,Aquático,Petroquímico,POLO,1,<NO_RESPONSE>,83664,0,1,81357,2307
81,1,5,Sangue,Planta,Pote,VASO,1,<NO_RESPONSE>,86410,0,1,84678,1732
81,1,6,Pepino,Estrela,Aberto,MAR,1,<NO_RESPONSE>,117018,0,1,87002,30016
81,1,7,Chuva,Roupa,Civil,GUARDA,1,<NO_RESPONSE>,125626,0,1,120139,5487
81,1,8,Sol,Normal,Raio,PARA,1,TEMPO,155628,0,1,126771,28857
81,1,9,Tomate,Bolo,Vermelha,CEREJA,1,<NO_RESPONSE>,189711,0,1,159697,30014
81,1,10,Violino,Piano,Rapel,CORDA,1,<NO_RESPONSE>,202707,0,1,192190,10517
81,1,11,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,216963,1,1,203497,13466
81,1,12,Doida,Cuidador,Cidade,IDA,1,<NO_RESPONSE>,221711,0,1,218120,3591
81,1,13,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,228341,1,1,222605,5736
81,1,14,Ar,Doa,O,DOR,1,SAGUE,244758,0,1,229531,15227
81,1,15,Cerâmica,Sopa,Pressão,PANELA,1,<NO_RESPONSE>,255687,0,1,252936,2751
81,1,16,Azul,Leão,Cavalo,MARINHO,1,<NO_RESPONSE>,286563,0,1,256552,30011
81,1,17,Bala,Estação,Vapor,TREM,1,TREM,301101,1,1,289799,11302
81,1,18,Camisa,Fruta,Mangueira,MANGA,1,MANGA,322162,1,1,302601,19561
81,1,19,Árvore,Suco,Cor,VERDE,1,<NO_RESPONSE>,326244,0,1,323534,2710
81,1,20,Cabelo,Papel,Vídeo,CLIPE,1,CORTE,333870,0,1,327046,6824
81,1,21,Fio,Termo,Dia,MEIO,1,MEIO,360064,1,1,337810,22254
81,1,22,Boi,Espada,Palhaço,PEIXE,1,PEIXE,367711,1,1,362225,5486
81,1,23,Pão,Limão,Abelha,MEL,1,MEL,377423,1,1,368746,8677
81,1,24,Mola,Queixo,Cabeça,QUEBRA,1,<NO_RESPONSE>,381378,0,1,378394,2984
81,1,25,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,389486,1,1,382208,7278
81,1,26,Aranha,Prego,Hidraúlico,MACACO,1,<NO_RESPONSE>,392974,0,1,390873,2101
81,1,27,Batata,Chave,Língua,INGLESA,1,<NO_RESPONSE>,423798,0,1,393787,30011
81,1,28,Coco,Integral,Dente,LEITE,1,BRANCO,437310,0,1,426200,11110
81,1,29,Peito,Pato,Trabalho,BICO,1,PAGAR,449618,0,1,438187,11431
81,1,30,Cara,Perna,Pica,PAU,1,<NO_RESPONSE>,455529,0,1,450851,4678
