ID,Resultado
1,All não
2,PM 1 Sim
3,PM 1 Sim
4,All não
5,PM 1 Sim
6,PM 1 Sim
7,PM 1 Sim
8,PM 1 Sim
9,PM 1 Sim
10,PM 1 Sim
11,PM 1 Sim
12,PM 1 Sim
13,PM 1 Sim
14,PM 1 Sim
15,PM 1 Sim
16,PM 1 Sim
17,PM 1 Sim
18,PM 1 Sim
19,PM 1 Sim
20,PM 1 Sim
21,PM 1 Sim
22,PM 1 Sim
23,PM 1 Sim
24,PM 1 Sim
25,PM 1 Sim
26,PM 1 Sim
27,PM 1 Sim
28,PM 1 Sim
29,PM 1 Sim
30,PM 1 Sim
31,PM 1 Sim
32,PM 1 Sim
33,PM 1 Sim
34,PM 1 Sim
35,PM 1 Sim
36,PM 1 Sim
37,PM 1 Sim
38,PM 1 Sim
39,PM 1 Sim
40,PM 1 Sim
41,PM 1 Sim
42,PM 1 Sim
43,PM 1 Sim
44,PM 1 Sim
45,PM 1 Sim
46,PM 1 Sim
47,All não
48,All não
49,PM 1 Sim
50,PM 1 Sim
51,PM 1 Sim
52,PM 1 Sim
53,PM 1 Sim
54,PM 1 Sim
55,PM 1 Sim
56,PM 1 Sim
